feature	metadata	value	name	coef	null_hypothesis	stderr	pval_individual	qval_individual	pval_joint	qval_joint	error	model	N	N_not_zero
3.6.4.3: Microtubule-severing ATPase|s__GGB9739_SGB15313.t__SGB15313	Diet	LCF	DietLCF	1.20202086010882	-0.0614602574130574	0.240150051983009	2.28924448649768e-6	1.521374504138e-4	2.28924448649768e-6	1.521374504138e-4	NA	abundance	105	89
6.1.1.18: Glutamine--tRNA ligase|s__GGB9739_SGB15313.t__SGB15313	Diet	LCF	DietLCF	1.18198059077314	-0.0614602574130574	0.234412819860879	2.71443812062753e-6	1.7340388695109e-4	2.71443812062753e-6	1.7340388695109e-4	NA	abundance	105	83
6.1.1.22: Asparagine--tRNA ligase|s__GGB9739_SGB15313.t__SGB15313	Diet	LCF	DietLCF	1.21146496914687	-0.0614602574130574	0.248494673368752	3.3080122905006e-6	2.0310927608427e-4	3.3080122905006e-6	2.0310927608427e-4	NA	abundance	105	84
6.3.5.2: GMP synthase (glutamine-hydrolyzing)|s__GGB9739_SGB15313.t__SGB15313	Diet	LCF	DietLCF	1.35841973863521	-0.0614602574130574	0.278224259292849	3.76960126910376e-6	2.264986727683e-4	3.76960126910376e-6	2.264986727683e-4	NA	abundance	105	90
3.1.26.4: Ribonuclease H|s__GGB9739_SGB15313.t__SGB15313	Diet	LCF	DietLCF	1.47463914289404	-0.0614602574130574	0.302050855269765	5.7401045220086e-6	3.2217651090889e-4	5.7401045220086e-6	3.2217651090889e-4	NA	abundance	105	79
2.7.1.11: 6-phosphofructokinase|s__GGB9739_SGB15313.t__SGB15313	Diet	LCF	DietLCF	1.10343662564198	-0.0614602574130574	0.232605231328169	6.01229897351256e-6	3.3517188130565e-4	6.01229897351256e-6	3.3517188130565e-4	NA	abundance	105	89
2.4.2.10: Orotate phosphoribosyltransferase|s__GGB9739_SGB15313.t__SGB15313	Diet	LCF	DietLCF	1.26107744674051	-0.0614602574130574	0.264065845298085	6.11794190198963e-6	3.3946750686485e-4	6.11794190198963e-6	3.3946750686485e-4	NA	abundance	105	82
6.1.1.10: Methionine--tRNA ligase|s__GGB9739_SGB15313.t__SGB15313	Diet	LCF	DietLCF	1.11741811156472	-0.0614602574130574	0.236567513829037	6.41918713540639e-6	3.5234834660827e-4	6.41918713540639e-6	3.5234834660827e-4	NA	abundance	105	85
1.2.1.41: Glutamate-5-semialdehyde dehydrogenase|s__GGB9739_SGB15313.t__SGB15313	Diet	LCF	DietLCF	1.22068954223023	-0.0614602574130574	0.258621392247197	6.42956920705772e-6	3.5234834660827e-4	6.42956920705772e-6	3.5234834660827e-4	NA	abundance	105	81
4.3.1.3: Histidine ammonia-lyase|s__GGB9739_SGB15313.t__SGB15313	Diet	LCF	DietLCF	1.22068954223023	-0.0614602574130574	0.258621392247197	6.50019937537411e-6	3.5536922727892e-4	6.50019937537411e-6	3.5536922727892e-4	NA	abundance	105	81
6.3.1.5: NAD(+) synthase|s__GGB9739_SGB15313.t__SGB15313	Diet	LCF	DietLCF	1.13899448612374	-0.0614602574130574	0.242845425044505	6.65113906048882e-6	3.6283638322212e-4	6.65113906048882e-6	3.6283638322212e-4	NA	abundance	105	86
6.3.2.4: D-alanine--D-alanine ligase|s__GGB9739_SGB15313.t__SGB15313	Diet	LCF	DietLCF	1.10037982388018	-0.0614602574130574	0.234590767619233	7.48583280556779e-6	3.9722584323344e-4	7.48583280556779e-6	3.9722584323344e-4	NA	abundance	105	79
2.1.1.190: 23S rRNA (uracil(1939)-C(5))-methyltransferase|s__GGB9739_SGB15313.t__SGB15313	Diet	LCF	DietLCF	1.0317290764601	-0.0614602574130574	0.222439618135489	8.24284619266244e-6	4.3135855148185e-4	8.24284619266244e-6	4.3135855148185e-4	NA	abundance	105	84
6.1.1.15: Proline--tRNA ligase|s__GGB9739_SGB15313.t__SGB15313	Diet	LCF	DietLCF	1.07303617191771	-0.0614602574130574	0.23184400944734	8.42979382478869e-6	4.3992732701037e-4	8.42979382478869e-6	4.3992732701037e-4	NA	abundance	105	86
4.2.3.5: Chorismate synthase|s__GGB9739_SGB15313.t__SGB15313	Diet	LCF	DietLCF	1.1043089158989	-0.0614602574130574	0.239172855578322	9.60619113171616e-6	4.9084788486238e-4	9.60619113171616e-6	4.9084788486238e-4	NA	abundance	105	81
3.1.11.6: Exodeoxyribonuclease VII|s__GGB9739_SGB15313.t__SGB15313	Diet	LCF	DietLCF	1.37842423603767	-0.0614602574130574	0.297027986865638	9.78499686730899e-6	4.9730344668519e-4	9.78499686730899e-6	4.9730344668519e-4	NA	abundance	105	82
