F-50179122-003S	F-50179079-003S	F-50179110-003S	F-50179085-003S	F-50179129-003S	F-50179112-003S	F-50179108-003S	F-50179123-003S	F-50179133-003S	F-50179114-003S	F-50179131-003S	F-50179101-003S	F-50179077-003S	F-50179097-003S	F-50179087-003S	F-50179099-003S	F-50179071-003S	F-50179118-003S	F-50179125-003S	F-50179116-003S	F-50179106-003S	F-50179137-003S	F-50179127-003S	F-50179075-003S	F-50179083-003S	F-50179091-003S	F-50179135-003S	F-50179139-003S	F-50179120-003S	F-50179081-003S	F-50179105-003S	F-50179095-003S	F-50179089-003S	F-50179093-003S	F-50179073-003S
1.1.1.251	0	0	1.0497487616	3.2847084584	15.249920116	2.6937200368	1.7634812636	1.7399150859	0	0	0.8872082169	0	1.2327846695	1.7872097547	1.406713269	2.1328858849	0	0	0	0	2.4628738323	0	0	0	1.1648929904	0	3.488509005	0	0	0	0	0	0	0	0
1.1.1.252	0	0.4836988861	0	0	2.2794872616	0	0	0.4059752332	0	0	0	0.8731609382	0	0	0	2.2343832634	0	0	0	0	0	0	0	0	0	0	0	1.2014908787	0.8648602381	0.6791943808	0	0	0	0	0
1.1.1.255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.1.1.26	0.4087608857	1.5284537012	0	0	0	0	0	0	0	1.4292199845	0	0	0.7433383279	0	0	0	0	0	0	0	0	0	1.489214782	3.0068980887	0	0	0	0	0.9841911067	0	0	0	0	0	0
1.1.1.261	0	0	0.3187767102	0	0	2.0234994374	0	16.206352635	1.795583008	2.3386367644	0	1.3925104614	3.014107499	2.080353536	0	0	0	0	1.781203029	0	2.5728508453	0	2.8977505445	0	0	0	0	0	0.8355931373	1.205585991	0	0.8289154045	0	0	0
1.1.1.262	56.4669919731	4.9050295828	12.6227724045	1.1358463672	33.3204011125	11.1838454159	0	1.08737298	0	21.1554286603	0	42.5760046131	2.6680818946	5.341533141	3.1463641621	8.9628300062	5.4415178293	0	0	0	23.8714601719	2.7925662818	0	0	11.3649633639	12.0440199825	33.2785926322	0	13.5827352022	2.2240712423	13.4888001462	0	0	20.9995081014	4.999727478
1.1.1.263	0	0	0	0	0.7136395834	0	0	3.115623883	0	1.0582549435	0	2.2911743019	0.481940091	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6888581596	0	1.0652116927	0	0	0.4887107375	0	0	0
1.1.1.264	0	0	0	0	14.0956464314	0	0	0	0	0	0	0.675464122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.1.1.267	516.8038342532	488.7391224324	339.4056103592	400.2472054336	404.8360985513	249.9310304943	384.7664030641	342.6480575623	308.6076621467	355.6467600164	398.3361445926	380.6214044602	392.172410484	368.4547180224	403.8140243365	237.2037466389	373.8333543469	451.6433863349	453.7851655522	421.8515317481	382.472671433	413.155542011	502.000843394	461.5939069108	390.0551421543	413.966278251	358.6934447528	547.3545485985	392.5747367493	375.5299050277	404.2618442184	400.2974892169	475.4513555449	583.4065664902	344.2984993447
1.1.1.268	0	0	0	0	0.4617667893	0	0.4413819129	0.396366352	0	0	0	0	0	0	0	2.0657684374	0	0	0	0	0	0	0	0	0	0	0	0	0.2670891912	0	0	0	0	0	0
1.1.1.269	0.4850139479	0	0	0	0	0	0	0.7064863218	0	0	0	0	0	0	0	0.6265035425	0	0	0	0	0	0	0	0	0	0	0	0	0.2670891912	0	0	0	0	0	0
1.1.1.27	310.1278499394	383.0415302786	293.2626801761	417.72439996	399.5747044373	427.0269110978	387.8995502885	532.787405526	580.6591204805	272.3297813084	354.7935880792	319.5985539986	400.0437236183	330.6170971527	192.2458713628	346.9836580403	257.9960461836	277.7869787796	453.8690199013	382.352562732	371.2193632263	314.1038307473	275.1770926437	385.2639514163	362.312441344	294.9812862543	352.466135602	349.206363572	367.5795859549	358.6630915684	473.2959609488	385.272804625	471.3938394264	281.4216425732	214.3616945865
1.1.1.271	5.3936316694	0.5035991761	11.4851765391	4.8309743675	37.4290844178	12.0196111417	0	8.433163904	11.0153588105	72.3970480756	0	37.3385598816	9.4422563725	8.6968673518	16.6368264488	16.4152913072	3.807755028	0	0	9.2027380947	21.7729198256	0	1.0228668967	0	10.0851310657	8.5525390718	22.7838705205	0	11.32669292	1.5559128447	11.3141354633	0	7.0277041605	1.3410860629	14.6715023981
1.1.1.272	1.3567864223	0	2.499620673	0	0.191449168	4.5014214464	0	0	0	3.1776939748	0	0	1.8420443031	3.5851602142	2.7284802325	4.1373795995	0	0	0	0.4185855996	2.669736487	0	0	0	0	1.071293553	1.68359241	1.0934794005	2.1820393052	0.6061627269	0	0	0	2.068357438	0.7666211988
1.1.1.274	2.2877966353	6.8680323349	8.2999750572	7.4403054084	53.3550838068	80.2311833972	6.9836322397	98.6004370951	18.0604170809	38.3468628401	6.0541503291	30.1850524115	16.1303299374	22.6705285505	5.464898877	34.5490389084	2.7690487936	0.6318000302	6.9983731254	0	22.1413572059	1.6862413294	7.1468609103	2.1931696016	11.8963811198	6.9247471121	21.9170432337	5.8597482271	10.4498235255	16.3686122057	18.2146654023	22.5784855184	6.3232227881	1.9572830782	7.533798039
1.1.1.275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.1.1.276	0	0.8387911246	0	0	4.4584654373	1.6794199574	0	51.1258652782	1.559507874	0.7921069937	0	0	5.3133734848	0	0	1.0194914045	0	0	0	0	0	0	0	0	0	0	1.8688299038	1.1441054905	0	0	7.2262560701	6.9901364283	0	0	0
1.1.1.28	16.6640878045	9.330085285	11.1793809865	12.1032947473	77.1910485155	69.4737251679	9.9361495439	106.0170320312	29.2325854023	48.8597531849	40.5732815248	47.4200173382	34.4183889819	64.2317073949	51.6575477569	37.0815595574	29.3732052232	54.431959865	21.7060959342	8.5443840119	72.2636698586	1.4505125598	12.2078986267	4.7861774021	9.4981391638	8.596796707	72.9100827517	12.6389145649	34.9058752912	27.498337689	23.6866303743	21.786346347	24.7268179339	14.79801225	58.9254024248
1.1.1.281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.6990459025	0	0	0	0	0	0	0	0	0	0
1.1.1.282	0	0.5453169701	0	0.5098826783	6.2468437516	1.9172720975	0	0	0	0	0	0	0	1.555168836	12.0254791466	0	0	0	4.0322994835	0	1.6837587775	0.8554888681	1.1387567666	0	0.5726869338	2.7566359121	0	0	0	0	0	0.830734328	1.8028196862	0	7.788361542
1.1.1.283	0.5675339648	3.4953326973	1.3064409386	1.8718861201	1.0037262305	0	0	0.8204436863	0.2403935065	0.830963639	2.3816903635	2.3123036951	0.7819856314	6.3584870997	1.4698113098	0.7869872086	0	0	0	0	5.1173639452	0	0	0	0.8589264267	0	3.4196938255	2.0864946628	0.9172760101	0.63122974	3.2634551259	0	0	1.2419020761	2.5112588575
